Subj	Posit	List	Item	PrimeCond	PrimeCorrect	TargetAttach
21	59	3	17	2	1	2
21	63	3	14	2	1	3
21	67	3	7	3	1	1
21	71	3	23	2	1	1
21	75	3	11	2	1	2
21	79	3	24	1	1	1
21	83	3	2	2	1	2
21	87	3	18	1	1	2
21	91	3	12	1	1	1
21	95	3	19	3	1	1
21	99	3	3	1	1	3
22	7	1	22	1	1	1
22	11	1	16	1	1	2
22	15	1	9	2	1	2
22	19	1	4	1	1	1
22	23	1	13	1	1	1
22	27	1	10	1	1	2
22	31	1	6	2	1	1
22	35	1	20	3	1	1
22	39	1	5	3	1	1
22	43	1	8	3	1	1
22	47	1	1	1	1	1
22	51	1	21	2	1	1
22	55	1	15	2	1	1
22	59	1	17	3	1	2
22	63	1	14	3	1	1
22	67	1	7	1	1	3
22	71	1	23	3	1	3
22	75	1	11	3	1	1
22	79	1	24	2	1	1
22	83	1	2	3	1	3
22	87	1	18	2	1	1
22	91	1	12	2	1	2
22	95	1	19	1	1	2
22	99	1	3	2	1	2
23	7	2	22	2	1	3
23	11	2	16	2	1	2
23	15	2	9	3	1	3
23	19	2	4	2	1	2
23	23	2	13	2	1	1
23	27	2	10	2	1	2
23	31	2	6	3	1	2
23	35	2	20	1	1	2
23	39	2	5	1	1	1
23	43	2	8	1	1	1
23	47	2	1	2	1	2
23	51	2	21	3	1	3
23	55	2	15	3	1	2
23	59	2	17	1	1	2
23	63	2	14	1	1	1
23	67	2	7	2	1	2
23	71	2	23	1	1	3
23	75	2	11	1	0	2
23	79	2	24	3	1	2
23	83	2	2	1	1	1
23	87	2	18	3	1	1
23	91	2	12	3	1	2
23	95	2	19	2	1	2
23	99	2	3	3	1	1
24	7	3	22	3	1	2
24	11	3	16	3	1	2
24	15	3	9	1	1	3
24	19	3	4	3	1	2
24	23	3	13	3	1	2
24	27	3	10	3	1	2
24	31	3	6	1	1	2
24	35	3	20	2	1	2
24	39	3	5	2	1	1
24	43	3	8	2	1	3
24	47	3	1	3	1	2
24	51	3	21	1	1	3
24	55	3	15	1	1	1
24	59	3	17	2	1	1
24	63	3	14	2	1	3
24	67	3	7	3	1	2
24	71	3	23	2	1	2
24	75	3	11	2	0	3
24	79	3	24	1	1	1
24	83	3	2	2	1	2
24	87	3	18	1	1	2
24	91	3	12	1	1	2
24	95	3	19	3	1	3
24	99	3	3	1	1	2
25	7	1	22	1	0	2
25	11	1	16	1	1	2
25	15	1	9	2	1	2
25	19	1	4	1	0	2
25	23	1	13	1	1	1
25	27	1	10	1	1	1
25	31	1	6	2	0	2
25	35	1	20	3	1	2
25	39	1	5	3	1	2
25	43	1	8	3	1	3
25	47	1	1	1	0	2
25	51	1	21	2	1	3
25	55	1	15	2	0	3
25	59	1	17	3	1	1
25	63	1	14	3	1	3
25	67	1	7	1	1	1
25	71	1	23	3	1	2
25	75	1	11	3	1	3
25	79	1	24	2	1	3
25	83	1	2	3	1	2
25	87	1	18	2	1	2
25	91	1	12	2	1	1
25	95	1	19	1	1	3
25	99	1	3	2	0	1
26	7	2	22	2	1	2
26	11	2	16	2	1	1
26	15	2	9	3	1	2
26	19	2	4	2	1	2
26	23	2	13	2	1	1
26	27	2	10	2	1	2
26	31	2	6	3	1	3
26	35	2	20	1	1	2
26	39	2	5	1	1	2
26	43	2	8	1	1	1
26	47	2	1	2	1	2
26	51	2	21	3	1	3
26	55	2	15	3	1	1
26	59	2	17	1	1	2
26	63	2	14	1	1	2
26	67	2	7	2	1	2
26	71	2	23	1	1	2
26	75	2	11	1	0	3
26	79	2	24	3	1	2
26	83	2	2	1	1	2
26	87	2	18	3	1	1
26	91	2	12	3	1	2
26	95	2	19	2	1	2
26	99	2	3	3	1	3
27	7	3	22	3	1	2
27	11	3	16	3	1	4
27	15	3	9	1	1	3
27	19	3	4	3	1	2
27	23	3	13	3	1	3
27	27	3	10	3	1	2
27	31	3	6	1	1	3
27	35	3	20	2	1	2
27	39	3	5	2	1	1
27	43	3	8	2	1	1
27	47	3	1	3	1	2
27	51	3	21	1	1	1
27	55	3	15	1	1	1
27	59	3	17	2	1	4
27	63	3	14	2	1	1
27	67	3	7	3	1	2
27	71	3	23	2	1	2
27	75	3	11	2	1	1
27	79	3	24	1	1	1
27	83	3	2	2	1	2
27	87	3	18	1	1	1
27	91	3	12	1	1	2
27	95	3	19	3	1	2
27	99	3	3	1	1	2
