Subj	Group	Posit	Item	PrimeCond	PrimeCorrect	TargetAttach	
22	B	75	2	3	1	2	
22	B	79	1	1	1	3	
22	B	83	12	2	1	2	
22	B	87	19	1	1	1	
22	B	91	13	1	1	3	
22	B	95	16	1	1	1	
22	B	99	24	2	1	2	
23	B	7	7	2	1	2	
23	B	11	22	2	1	2	
23	B	15	9	3	1	1	
23	B	19	17	1	0	2	
23	B	23	15	3	1	2	
23	B	27	10	2	1	2	
23	B	31	8	1	1	2	
23	B	35	5	1	1	1	
23	B	39	3	3	1	2	
23	B	43	23	1	1	2	
23	B	47	4	2	1	3	
23	B	51	14	1	1	1	
23	B	55	21	3	1	2	
23	B	59	20	1	1	2	
23	B	63	11	1	1	3	
23	B	67	6	3	1	2	
23	B	71	18	3	1	2	
23	B	75	2	1	1	2	
23	B	79	1	2	1	2	
23	B	83	12	3	1	3	
23	B	87	19	2	1	1	
23	B	91	13	2	1	2	
23	B	95	16	2	1	2	
23	B	99	24	3	1	2	
24	B	7	7	3	1	2	
24	B	11	22	3	1	2	
24	B	15	9	1	0	2	
24	B	19	17	2	1	2	
24	B	23	15	1	0	1	
24	B	27	10	3	1	2	
24	B	31	8	2	0	1	
24	B	35	5	2	0	1	
24	B	39	3	1	0	3	
24	B	43	23	2	0	1	
24	B	47	4	3	0	3	
24	B	51	14	2	0	1	
24	B	55	21	1	0	1	
24	B	59	20	2	0	1	
24	B	63	11	2	0	2	
24	B	67	6	1	0	2	
24	B	71	18	1	0	2	
24	B	75	2	2	0	2	
24	B	79	1	3	1	2	
24	B	83	12	1	0	1	
24	B	87	19	3	1	1	
24	B	91	13	3	0	2	
24	B	95	16	3	1	1	
24	B	99	24	1	0	1	
25	B	7	3	2	1	3	
25	B	11	4	1	1	2	
25	B	15	13	1	1	1	
25	B	19	23	3	1	1	
25	B	23	2	3	1	2	
25	B	27	14	3	1	1	
25	B	31	1	1	1	3	
25	B	35	12	2	1	1	
25	B	39	8	3	1	1	
25	B	43	20	3	1	3	
25	B	47	24	2	1	1	
25	B	51	5	3	1	1	
25	B	55	22	1	1	3	
25	B	59	9	2	1	2	
25	B	63	10	1	1	2	
25	B	67	11	3	1	2	
25	B	71	6	2	1	3	
25	B	75	17	3	1	1	
25	B	79	21	2	1	2	
25	B	83	15	2	1	3	
