Subj	posit	list	item	prime	target	tres_C	tres_F	presp	tresp	correct	numerr
L2M11	9	3	22	1	2	12	2	3	12	1	0
L2M11	12	3	8	2	2	35	80	4	35	1	0
L2M11	15	3	17	2	1	13	63	4	63	0	0
L2M11	18	3	14	1	2	16	6	2	16	1	0
L2M11	21	3	19	1	1	70	10	5	10	0	0
L2M11	24	3	1	2	1	5	20	4	20	0	0
L2M11	27	3	16	2	2	65	77	1	65	1	0
L2M11	30	3	12	2	2	72	84	2	72	1	0
L2M11	33	3	13	2	1	10	54	1	54	0	0
L2M11	36	3	2	1	2	7	2	5	7	1	0
L2M11	39	3	5	2	1	16	78	5	78	0	0
L2M11	42	3	10	1	2	19	2	4	19	1	0
L2M11	45	3	23	1	1	62	14	5	14	0	0
L2M11	48	3	6	1	2	13	4	5	4	0	0
L2M11	51	3	24	2	2	17	45	4	17	1	0
L2M11	54	3	3	1	1	33	9	5	8	0	1
L2M11	57	3	11	1	1	40	12	5	18	0	1
L2M11	60	3	7	1	1	20	8	5	8	0	0
L2M11	63	3	18	1	2	18	2	1	2	0	0
L2M11	66	3	15	1	1	198	38	5	38	0	0
L2M11	69	3	4	2	2	70	90	1	70	1	0
L2M11	72	3	21	2	1	3	12	4	4	0	1
L2M11	75	3	20	2	2	94	224	2	94	1	0
L2M12	6	3	17	2	1	13	63	5	63	0	0
L2M12	9	3	15	1	1	198	38	5	38	0	0
L2M12	12	3	5	2	1	16	78	5	78	0	0
L2M12	15	3	2	1	2	7	2	5	7	1	0
L2M12	18	3	11	1	1	40	12	5	12	0	0
L2M12	21	3	22	1	2	12	2	5	12	1	0
L2M12	24	3	12	2	2	72	84	5	72	1	0
L2M12	27	3	19	1	1	70	10	5	70	1	0
L2M12	30	3	4	2	2	70	90	2	70	1	0
L2M12	33	3	24	2	2	17	45	4	17	1	0
L2M12	36	3	23	1	1	62	14	5	14	0	0
L2M12	39	3	3	1	1	33	9	5	9	0	0
L2M12	42	3	13	2	1	10	54	2	54	0	0
L2M12	45	3	18	1	2	18	2	5	18	1	0
L2M12	48	3	6	1	2	13	4	5	13	1	0
L2M12	51	3	20	2	2	94	224	1	94	1	0
L2M12	54	3	9	2	1	5	18	1	18	0	0
L2M12	57	3	8	2	2	35	80	5	35	1	0
L2M12	60	3	21	2	1	3	12	2	12	0	0
L2M12	63	3	14	1	2	16	6	5	6	0	0
L2M12	66	3	16	2	2	65	77	1	65	1	0
L2M12	69	3	10	1	2	19	2	5	19	1	0
L2M12	72	3	7	1	1	20	8	5	8	0	0
L2M12	75	3	1	2	1	5	20	1	20	0	0
L2M13	6	3	23	1	1	62	14	4	14	0	0
L2M13	9	3	16	2	2	65	77	5	65	1	0
L2M13	12	3	13	2	1	10	54	5	54	0	0
L2M13	15	3	7	1	1	20	8	5	20	1	0
L2M13	18	3	20	2	2	94	224	5	94	1	0
L2M13	21	3	24	2	2	17	45	4	17	1	0
L2M13	24	3	18	1	2	18	2	5	18	1	0
L2M13	27	3	21	2	1	3	12	4	12	0	0
L2M13	30	3	22	1	2	12	2	5	12	1	0
L2M13	33	3	14	1	2	16	6	5	16	1	0
L2M13	36	3	5	2	1	16	78	5	78	0	0
L2M13	39	3	12	2	2	72	84	4	72	1	0
L2M13	42	3	9	2	1	5	18	2	18	0	0
L2M13	45	3	19	1	1	70	10	5	70	1	0
L2M13	48	3	3	1	1	33	9	5	9	0	0
L2M13	51	3	4	2	2	70	90	2	70	1	0
L2M13	54	3	10	1	2	19	2	4	19	1	0
L2M13	57	3	11	1	1	40	12	4	12	0	0
L2M13	60	3	15	1	1	198	38	5	38	0	0
L2M13	63	3	2	1	2	7	2	5	7	1	0
L2M13	66	3	8	2	2	35	80	4	35	1	0
L2M13	69	3	1	2	1	5	20	3	20	0	0
L2M13	72	3	17	2	1	13	63	5	63	0	0
L2M13	75	3	6	1	2	13	4	5	13	1	0
L2M14	6	2	17	1	2	97	25	3	97	1	0
L2M14	9	2	15	2	2	15	40	5	15	1	0
L2M14	12	2	5	1	2	152	62	5	152	1	0
