Subj	posit	list	item	prime	pres_C	pres_F	target	presp	tresp
M2L08	75	1	1	1	5	20	1	5	5
M2L09	6	1	9	1	5	18	1	5	5
M2L09	9	1	22	2	12	2	2	2	3
M2L09	12	1	8	2	35	80	1	35	5
M2L09	15	1	17	1	13	63	1	13	5
M2L09	18	1	14	2	16	6	2	16	5
M2L09	21	1	19	1	70	10	2	74	5
M2L09	24	1	1	1	5	20	1	5	5
M2L09	27	1	16	2	65	77	1	66	5
M2L09	30	1	12	2	72	84	1	72	5
M2L09	33	1	13	1	10	54	1	10	5
M2L09	36	1	2	2	7	2	2	7	1
M2L09	39	1	5	1	16	78	1	16	5
M2L09	42	1	10	2	19	2	2	19	2
M2L09	45	1	23	1	62	14	2	62	4
M2L09	48	1	6	2	13	4	2	13	5
M2L09	51	1	24	2	17	45	1	17	5
M2L09	54	1	3	1	33	9	2	33	2
M2L09	57	1	11	1	40	12	2	40	2
M2L09	60	1	7	1	20	8	2	20	3
M2L09	63	1	18	2	18	2	2	18	4
M2L09	66	1	15	1	198	38	2	100	5
M2L09	69	1	4	2	70	90	1	70	5
M2L09	72	1	21	1	3	12	1	3	5
M2L09	75	1	20	2	94	224	1	94	5
M2L10	6	4	17	2	97	25	2	97	4
M2L10	9	4	15	2	15	40	1	15	5
M2L10	12	4	5	2	152	62	2	152	4
M2L10	15	4	2	1	26	8	2	26	2
M2L10	18	4	11	2	4	14	1	4	5
M2L10	21	4	22	1	56	8	2	56	4
M2L10	24	4	12	1	27	34	1	27	5
M2L10	27	4	19	2	0	12	1	0	5
M2L10	30	4	4	1	50	68	1	50	4
M2L10	33	4	24	1	19	49	1	19	4
M2L10	36	4	23	2	4	16	1	4	5
M2L10	39	4	3	2	1	6	1	1	5
M2L10	42	4	13	2	85	22	2	45	2
M2L10	45	4	18	1	92	8	2	92	3
M2L10	48	4	6	1	86	14	2	86	5
M2L10	51	4	20	1	74	200	1	74	5
M2L10	54	4	9	2	50	26	2	50	2
M2L10	57	4	8	1	25	65	1	25	5
M2L10	60	4	21	2	25	9	2	25	3
M2L10	63	4	14	1	49	13	2	49	5
M2L10	66	4	16	1	25	32	1	25	5
M2L10	69	4	10	1	98	8	2	98	5
M2L10	72	4	7	2	1	4	1	2	5
M2L10	75	4	1	2	73	45	2	73	2
M2L11	6	2	17	2	97	25	1	97	2
M2L11	9	2	15	2	15	40	2	15	5
M2L11	12	2	5	2	152	62	1	152	2
M2L11	15	2	2	1	26	8	1	26	5
M2L11	18	2	11	2	4	14	2	4	4
M2L11	21	2	22	1	56	8	1	56	4
M2L11	24	2	12	1	27	34	2	27	2
M2L11	27	2	19	2	0	12	2	0	5
M2L11	30	2	4	1	50	68	2	50	2
M2L11	33	2	24	1	19	49	2	19	4
M2L11	36	2	23	2	4	16	2	4	5
M2L11	39	2	3	2	1	6	2	1	4
M2L11	42	2	13	2	85	22	1	85	4
M2L11	45	2	18	1	92	8	1	92	4
M2L11	48	2	6	1	86	14	1	86	5
M2L11	51	2	20	1	74	200	2	74	1
M2L11	54	2	9	2	50	26	1	50	5
M2L11	57	2	8	1	25	65	2	25	5
M2L11	60	2	21	2	25	9	1	25	4
M2L11	63	2	14	1	49	13	1	49	5
M2L11	66	2	16	1	25	32	2	25	2
M2L11	69	2	10	1	98	8	1	98	5
M2L11	72	2	7	2	1	4	2	1	2
M2L11	75	2	1	2	73	45	1	73	5
M2L12	6	3	17	1	13	63	2	13	5
M2L12	9	3	15	1	198	38	1	198	5
M2L12	12	3	5	1	16	78	2	16	4
M2L12	15	3	2	2	7	2	1	7	3
M2L12	18	3	11	1	40	12	1	39	4
M2L12	21	3	22	2	12	2	1	12	5
M2L12	24	3	12	2	72	84	2	72	3
M2L12	27	3	19	1	70	10	1	70	5
M2L12	30	3	4	2	70	90	2	70	4
M2L12	33	3	24	2	17	45	2	17	5
M2L12	36	3	23	1	62	14	1	62	4
M2L12	39	3	3	1	33	9	1	33	5
M2L12	42	3	13	1	10	54	2	10	2
M2L12	45	3	18	2	18	2	1	18	2
M2L12	48	3	6	2	13	4	1	13	5
M2L12	51	3	20	2	94	224	2	94	2
M2L12	54	3	9	1	5	18	2	5	3
M2L12	57	3	8	2	35	80	2	35	5
M2L12	60	3	21	1	3	12	2	3	2
M2L12	63	3	14	2	16	6	1	16	4
M2L12	66	3	16	2	65	77	2	65	2
M2L12	69	3	10	2	19	2	1	19	4
M2L12	72	3	7	1	20	8	1	20	5
M2L12	75	3	1	1	5	20	2	10	2
M2L13	6	1	23	1	62	14	2	62	5
M2L13	9	1	16	2	65	77	1	65	5
M2L13	12	1	13	1	10	54	1	10	2
M2L13	15	1	7	1	20	8	2	20	1
M2L13	18	1	20	2	94	224	1	94	5
M2L13	21	1	24	2	17	45	1	17	5
M2L13	24	1	18	2	18	2	2	18	1
M2L13	27	1	21	1	3	12	1	3	3
M2L13	30	1	22	2	12	2	2	12	4
