Subject_ID	item	trial_numb	cond	prime_resp	Vcond	Ptype	target_resp	Ttype	T_onset	P_onset	P_offset	trialT		
177	18	79	01	PO	1	1	DO	2	5738	13739	18046	37523		
177	19	11	02	DO	1	2	ZZ	3	44724	7611	12508	64843		
177	20	35	03	ZZ	2	3	ZZ	3	4877	2413	14781	22071		
177	21	3	04	DO	2	2	DO	2	6269	9814	15442	31525		
177	22	83	01	PO	1	1	DO	2	2504	6970	17004	26478		
177	23	23	02	DO	1	2	PO	1	11957	5127	15552	32636		
177	24	43	03	ZZ	2	3	ZZ	3	3035	20	23834	26889		
177	25	111	04	DO	2	2	DO	2	4336	5348	13720	23404		
177	26	63	01	PO	1	1	DO	2	5929	2313	8642	16884		
177	27	87	02	DO	1	2	DO	2	9874	4237	12128	26239		
177	28	123	03	ZZ	2	3	ZZ	3	2324	1812	3114	7250		
177	29	27	04	PO	2	1	PO	1	8763	6159	16193	31115		
177	30	115	01	PO	1	1	PO	1	2874	10425	16674	29973		
177	31	127	02	DO	1	2	DO	2	6600	2684	5458	14742		
177	32	107	03	PO	2	1	PO	1	5939	5178	10155	21272		
179	1	107	02	DO	1	2	PO	1	2360	5500	13520	21380		
179	2	27	03	ZZ	2	3	PO	1	3190	6370	8020	17580		
179	3	71	04	DO	2	2	DO	2	2640	5050	6640	14330		
179	4	115	01	PO	1	1	PO	1	4840	2580	5050	12470		
179	5	15	02	DO	1	2	PO	1	3740	11980	15490	31210		
179	6	51	03	PO	2	1	DO	2	4400	3790	9010	17200		
179	7	87	04	DO	2	2	ZZ	3	2470	2800	5330	10600		
179	8	83	01	PO	1	1	PO	1	6320	2480	4290	13090		
179	9	35	02	DO	1	2	PO	1	3410	3680	5980	13070		
179	10	75	03	PO	2	1	PO	1	4940	3780	5270	13990		
179	11	19	04	DO	2	2	ZZ	3	2190	3790	10390	16370		
179	12	119	01	ZZ	1	3	ZZ	3	3300	2970	5770	12040		
179	13	67	02	DO	1	2	PO	1	3900	3130	5930	12960		
179	14	59	03	PO	2	1	DO	2	2140	2470	6150	10760		
179	15	79	04	DO	2	2	ZZ	3	6870	5050	7250	19170		
179	16	55	01	PO	1	1	DO	2	10220	3460	6810	20490		
179	17	23	02	DO	1	2	PO	1	3630	4830	7630	16090		
